,PC_1,PC_2,PC_3,class,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
J,-0.3321411601752661,-1.4819975741491946,-0.45107753033917564,0,JoinCoin,Multiple,PoW,3332922.5,2800000
VOLLAR,-0.33809700003939347,-1.8087497350372537,-0.2806614786901433,0,Vollar,Equihash+Scrypt,PoW,100000000.0,2100000000
EOS,2.077882896643037,0.8170053451161796,-0.4031118397850545,1,EOS,DPoS,DPoS,1020544523.0722,0
RCC,-0.3575674759887602,-1.6728595100335129,-0.37169752034121073,0,Reality Clash,Ethash,PoW,24487944.095820397,24487944
OXY,2.078650593822258,0.816948516284,-0.4031288938128964,1,Oxycoin,DPoS,DPoS,1122382283.37,0
WAVES,-0.22760163590273202,1.095353234635354,5.8254154753279375,1,Waves,Leased POS,LPoS,100000000.0,100000000
PART,-0.26700579336184366,2.17386849690509,-1.7496815426873233,1,Particl,PoS,PoS,9283137.5558676,8634140
BTT,23.63042431591708,-1.201129651206299,-0.6970098443929849,2,BitTorrent,TRC10,DPoS,989988713439.649,990000000000
NXT,-0.23587594692825253,2.011376547602424,-1.7262250145677378,1,Nxt,PoS,PoS/LPoS,1000000000.0,1000000000
ZEN,-0.3536741987836966,-1.6824097445879265,-0.3528305602772398,0,Horizen,Equihash,PoW,7296537.5,21000000
